,제목,가수,가사
10,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),"날 사랑해서 떠난다며
눈물짓던 그대의 말을 믿을 수 없죠
하지만 나의 전부였던
그대가 힘들어하기에 잡을 수 없었죠

온통 너와의 기억뿐인
나를 위해서였다면
조금씩 무너져가는 날
날 위한다면

이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면

함께 웃던 시간들을
함께했던 약속들을
지금 또 영원히 기억하겠어요
다시 한번 생각해요
무엇이 날 위한 건지
그대는 알고 있어요

영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면

온통 그대의 생각뿐인
나를 위해서였다면
초라하게 쓰러지는 날
날 위한다면

이대로 내 곁에 있어야 해요
나를 떠나면 안 돼요
세상의 모든 걸 잃어도 괜찮아요
그대만 있다면 그대만 있다면

영원히 내 곁을 지켜주세요
나를 떠나지 말아요
세상의 모든 걸 잃어도 난 좋아요
그대만 있다면 그대만 있다면"
11,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유,"It's not about F (F)
not about L (L)
We got something else

뒷짐을 진채
따라갈래
그녀의 긴 발자국

서로를 이어 (서로를 이어)
How special we are (special we are)

그 존재감에
입을 다무네
영원히 날 앞서는
그 이름은 Shh...

음 아마 첫사랑이지
또한 내 첫 세상
뚫어져라 무언가
바라보는 시선 역시
같은 눈동자를 가진 그녀를
닮아서일까

음 즐거운 악몽이지
우리는 시소에 올라
또 오르락내리락
도통 이해가 안 되는 일이지
유쾌하지 않은 꿈에서까지
널 보며
왜 웃고 있을까

It's not about F (F)
not about L (L)
We got something else

굵고 까맣게 (F)
땋은 양갈래 (L)
이야길 담은 입술

서로를 이어 (서로를 이어)
How special we are (special we are)

참 시시하게 (F)
혹은 비범하게 (L)
한 조각씩 내어준
그 이름은 Shh..

옷자락 휘날리던 등장에 대하여
(Salute)
그보다 꼿꼿하던 퇴장을 향하여
빛에 맞서던 순간도
빛을 등지던 순간도 음음
내내 자신답던 그녀를 위하여

멈춘 적 없는
오랜 혼잣말처럼
나의 시간 어딘가 영원히
풀리지 않는 암호 같은 그녀들에게

It's all about F (F)
All about L (L)
We got something else

난 마주할래 (F)
오랜 감정에 (L)
이름을 붙일 자유

서로를 이어 (서로를 이어)
How special we are (special we are)

끝내 재가 될 때 (F)
까지 내 안에 (L)
빨갛게 숨 타오를
그 이름은 Shh..

여기
낡은 이야기 하나 있죠
모두가 다 아는, 그러나 또 모르는
그 이름은 Shh.."
12,EASY,LE SSERAFIM (르세라핌),"다친대도 길을 걸어 kiss me
쉽지 않음 내가 쉽게 easy
Stage 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet

Damn, I really make it look easy
Yuh know that I make it look easy

Clap your hands, 너도 나와 같다면 clap your hands now
의구심 따윈 그냥 치워, 그냥 말해 “I’m the real one”

조명 꺼진 뒤의 난 wander in the night
Don’t know what is right, don’t know ‘bout my rights
시기심, 의심, 불신, 이젠 friends of me, yuh
세상에게 난 반쪽짜리 seraphim, yuh

Uhm I’ve been tryin’ so long to show you show you show you
I’m the one that you need

다친대도 길을 걸어 kiss me
쉽지 않음 내가 쉽게 easy
Stage 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet

Damn, I really make it look easy
Yuh know that I make it look easy

Yah know that I make it look easy
수면 위의 백조가 돼 whippin’
때론 풀려, 나의 다리 but I keep it
Get, set, go, come and see me, I’m the FEARLESS

나의 발걸음은 매 순간 history, 이건 my way
영웅처럼 걸어 even if I am not flawless
편하게만 왔다고?
날 몰라봤다면 you have to know

Uhm I’ve been tryin’ so long to show you show you show you
I’m the one that you need

다친대도 길을 걸어 kiss me
쉽지 않음 내가 쉽게 easy

Stage 위엔 불이 튀어, 내 body
Pull up and I rip it up like ballet

Damn, I really make it look easy
Yuh know that I make it look easy"
13,Drama,aespa,"Ya Ya I’m the Drama
Ziggy ziggy zag I’m new
'Cause I go biggie biggie bad It’s true
날카로운 눈 안에 비친 Toxic
내 본능을 당겨 Zoom
Hold up, What? Oh my god
You say, What? 다쳐 넌
You better watch out
우린 이미 거센 Boom
달려가고 있어 Vroom
I li-li like me when I roll
Li-li-like me when I’m savage
Li-li-like me when I go
Li-li-likie when I baddest
Hold up 빛을 따라서
달아 다 다 달려나가 Run
Go Finally Ra ta ta ta
다음 세계를 열어 난
1, 2 It’s time to go
후회 없어 난
맞서 난 깨버렸지
날 따라서 움직일 Rules
손끝으로 세상을 두드려 움직여
Yeah I’m coming
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
(All that)
Drama-ma-ma-ma
(Bring it that)
Drama-ma-ma-ma
With my girls in the back
Girls in the back Yeah
I break
Trauma-ma-ma-ma
(We them)
Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
Drama-ma-ma-ma
Drama-ma-ma-ma (3, 2, 1)
Drama-ma-ma
You know I’ve been kind of like
1, 2, 3 깜짝 놀랄 다음 Scene
키를 거머쥔
주인공은 나
4, 3, 2 Going down
쉽게 Through
Deja Vu 같이
그려지는 이미지
날 굳이 막지 말아
이건 내 Drama
도발은 굳이 안 막아
Uh I’m a stunner
1, 2 It’s time to go
타오르는 날 (타는 날)
느껴 난 And I love it
새로워지는 Rules
난 눈을 떠 (두 눈을 떠)
시작된 걸 (넌) 알아 (Now)
It’s coming
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
Into the REAL WORLD
다가온 Climax
두려워하지 마
You and I
함께 써 내려가는 Story
날 가로막았던 No
한계를 뛰어 넘어 Every day
Oh Imma make it my way
Out of the way Yeah
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나와 함께하는 Drama
(All that)
You know, I’m savage
거침없는 Baddest
나를 둘러싼 Thrill
거친 여정 속의 Drama
(Drama-ma-ma)
내가 깨트릴 모든 Trauma
(Drama-ma-ma)
지금 시작되는 Drama
Ya Ya 너로 시작될 MY Drama"
14,Super Lady,(여자)아이들,"I am the top, super lady (Oh)
I never lose yeah
(’Cause got a super power)
I am a god, super lady (Oh)
I NEVER DIE 봤지? 모두 Follow

Boy boy boy 거기 비켜 어서
우린 Love love love 따위 하긴 바빠
여긴 War war war 자비 따윈 없어
날 막는다면 Slay it (Lock it)

남자들의 뻔한 가식 (Drop it)
억 소리 나는 그 사치
영웅은 조금의 흔들릴 틈 없이
Ready to shoot

입술이 다 번져도
그 어떤 놈보다 멋지게
(누구보다 멋지게)
웃어 보이지 더 거칠게
독하다 해 That’s my name
I never bow on my way

Lady lady
Call me ‘Super Lady’
Lady lady

Follow, ladies
Onward, ladies
Super ladies
하나 둘 셋

Mama said 넌 언젠가 세상을 망칠 악
그 겁에 질린 눈빛도 참 못됐으니까

그 눈빛은 패왕색 패기 여왕의 자질 The Baddie
100이면 100이 다 기절한 각성에 겁먹은 Devil
그래 뵈는 게 없거든 Do you know?

불길이 다 번져도
그 어떤 놈보다 멋지게
(누구보다 멋지게)
뛰어들 테지 더 뜨겁게
독하다 해 That’s my name
I never bow on my way

Lady lady
Call me ‘Super Lady’
Lady lady

Follow, ladies
Onward, ladies
Super ladies

Let’s go on fearless
We came to take a win

Back it up (Oh)
Back it up (Oh-oh)
Back it up (Oh)
Back it up
Everybody say

누가 우릴 부른다면 Yes sir, super fast
누가 우릴 막는다면 Yes sir, supernatural
누가 봐도 우린 Yes, stronger than Superman
Yes sir, I got super power
Yes sir, I’m a"
15,헤어지자 말해요,박재정,"헤어지자고 말하려 오늘
너에게 가다가 우리 추억 생각해 봤어
처음 본 네 얼굴
마주친 눈동자
가까스로 본 너의 그 미소들
손을 잡고 늘 걷던 거리에
첫눈을 보다가 문득 고백했던 그 순간
가보고 싶었던 식당
난생처음 준비한 선물
고맙다는 너의 그 눈물들이
바뀔까 봐 두려워
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
시간이 지나고 나면 나는
어쩔 수 없을 걸 문득 너의 사진 보겠지
새로 사귄 친구 함께
웃음 띤 네 얼굴 보면
말할 수 없을 묘한 감정들이
힘들단 걸 알지만
그대 먼저 헤어지자 말해요
나는 사실 그대에게 좋은 사람이 아녜요
그대 이제 날 떠난다 말해요
잠시라도 이 행복을 느껴서 고마웠다고
한 번은 널 볼 수 있을까
이기적인 거 나도 잘 알아
그땐 그럴 수밖에 없던
어린 내게 한 번만 더 기회를 주길
그댈 정말 사랑했다 말해요
나는 사실 그대에게
좋은 사람이 되고 싶었어
영영 다신 못 본다 해도
그댈 위한 이 노래가
당신을 영원히 사랑할 테니"
16,Wife,(여자)아이들,"I cook cream soup
Taste is Cocoroco
Want me as your wife but she is
Umm umm umm

I clean your room
It’s so twinkle twinkle
Want me as your wife but she is
Umm umm umm

자기야 한입 크게 맛봐
배가 부르대도 뱉으면 나빠
좀 더 줄 테니 그만 침 좀 닦아
이제 다 큰 거 아니 너네 아빠

그래 그럴 줄 알고 케이크 좀 구웠어
그게 다가 아냐 위에 체리도 따먹어줘
조심스레 키스하고 과감하게 먹어치워
어떤지 맛 표현도 들려 보여줘

I cook cream soup
Taste is Cocoroco
Want me as your wife but she is
Umm umm umm

I clean your room
It’s so twinkle twinkle
Want me as your wife but she is
Umm umm umm

Umm umm umm
It’s a ddub ddub ddub
나의 Tongue 살짝 Touch
너는 Brr brr brr

아 구석구석 깨끗이 닦아놔
섬세한 입술에 손길은 안 닿아
머리부터 발끝까지 그냥 Chop chop chop
배웠으면 이제 너도 한번 올라타봐

만약 잘한다면 멋진 노래도 부르고
물 만난 인어처럼 예쁜 춤도 춰줄 거야
만약에 잘한다면 나도 배도 부르고
기분 좋으니까 깊숙이 더 삼켜버릴 거야

I cook cream soup
Taste is Cocoroco
Want me as your wife but she is
Umm umm umm

I clean your room
It’s so twinkle twinkle
Want me as your wife but she is
Umm umm umm

Wife, I make you feel so high
I make you feel like lie
But I don’t wanna

Wife wife wife wife

Wife, I make you feel so high
I make you feel like lie
But I don’t wanna"
17,인사,범진,"돌아서는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
지나치는 모진 기억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
떠나가는 너를 보며
난 아무 말도 할 수 없었고
슬퍼하기엔 짧았던
나의 해는 저물어 갔네
돌이킬 순 없는 추억이
바람 따라 흩어질 때면
아무 일도 없듯이 보내주려 해
아픈 맘이 남지 않도록
안녕 멀어지는 나의 하루야
빛나지 못한 나의 별들아
차마 아껴왔던 말 이제서야
잘 지내 인사를 보낼 게
잘 지내 인사를 보낼 게"
18,관객이 될게 (I stan U),아이유,"사소한 틈새의 one milli
그게 널 다르게 만들지
잔뜩 찡그려 웃는 버릇이나
자주 고르는 단어 하나하나

모두 바라보게 만들어
널 숨기지 마 Don't be silly
때때로 넌 자신 없어 하지만
그 수줍음조차 그저 좋아 난

흐리거나, 시리도록 맑을
(손에 닿거나, 아득히 멀어질)
네 모든 날들의 어느 열렬한
관객이 될게

난 나의 너를 믿어
You're stunning, so stunning
Go on 이 느낌 이어가
Ballad, Disco, Hip-Hop
상관없어 너 끌리는 대로 해
좋아 그건 또 그대로
I'm stanning, just stanning
You, I trust my you
가, 너만의 승리를 이뤄
I'm stanning, just stanning you

오늘도 스치듯 그 말이
날 쉬게 하는 걸 아는지
스르르 기분 좋은 웃음이 나
또 어떻게든 파고들어 와 넌

어둡거나, 눈부시게 밝을
(소란하거나, 아득히 고요할)
그 모든 날들의 어느 열렬한
관객이 될게

난 나의 너를 믿어
You're stunning, so stunning
Go on 이 느낌 이어가
Ballad, Disco, Hip-Hop
상관없어 너 끌리는 대로 해
Oh 좋아 그건 또 그대로
I'm stanning, just stanning you

막이 오르는 순간
조금 철이 없길 바라
놀아 어린아이처럼
다 숨죽인 무대 한가운데에서
그저 넌 너답게 웃어줘, 날아줘

넌 너의 나를 믿어
You're stunning, so stunning
Go on 노래를 이어가
Country, Classic, Lo-Fi
상관없어 너 끌리는 대로 해
Oh 좋아 그건 또 그대로
I'm stanning, just stanning
You, I trust my you
가, 너만의 승리를 이뤄
I'm stanning, just stanning you"
19,꿈,태연 (TAEYEON),"화려한 도시를
그리며 찾아왔네
그곳은 춥고도 험한 곳
여기저기 헤매다
초라한 문턱에서
뜨거운 눈물을 먹는다

머나먼 길을 찾아 여기에
꿈을 찾아 여기에
괴롭고도 험한 이 길을 왔는데
이 세상 어디가 숲인지
어디가 늪인지
그 누구도 말을 않네

사람들은 저마다
고향을 찾아가네
나는 지금 홀로 남아서
빌딩 속을 헤매다
초라한 골목에서
뜨거운 눈물을 먹는다

저기 저 별은 나의 마음 알까
나의 꿈을 알까
괴로울 땐 슬픈 노래를 부른다
슬퍼질 땐 차라리 나 홀로
눈을 감고 싶어
고향의 향기 들으면서

저기 저 별은 나의 마음 알까
나의 꿈을 알까
괴로울 땐 슬픈 노래를 부른다
이 세상 어디가 숲인지
어디가 늪인지
그 누구도 말을 않네

슬퍼질 땐 차라리 나 홀로
눈을 감고 싶어
고향의 향기 들으면서
고향의 향기 들으면서"
